space_time_id,GID_0,NAME_0,GID_2,NAME_1,year,month,day,country,admin1,location,infra_cate,infra,sub_event_,damage_inf,severity_i,notes,fatalities,actor1,assoc_acto,inter1,actor2,assoc_ac_1,inter2,source,radio,mcc,net,ran_usd,tower_usd,power_usd,backhaul_usd,labor_usd,total_usd,pop,wealth_usd,wealth_cfa,usd_to_cfa
2020_1_27_3.3485_15.21,NER,Niger,NER.7.1_1,Tillabéry,2020,1,27,Niger,Tillaberi,Tiguezefen,communications,antenna,Looting/property destruction,destruction,destroyed,"Reported on 27 January 2020, that presumed ISGS militants destroyed the telecommunications antenna in Tiguezefen.",0,Islamic State (West Africa) - Greater Sahara Faction,,Rebel Groups,Civilians (Niger),,Civilians,Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,GSM,,,40000,15000,5000,30000,1000,91000,1622.681182458963,455116,691,0.0016
2022_7_5_1.0623_14.0868,NER,Niger,NER.7.5_1,Tillabéry,2022,7,5,Niger,Tillaberi,Komabangou,communications,antenna,Looting/property destruction,arson,burned,"Property destruction: On 5 July 2022, presumed JNIM militants burned two telecommunication antennas in the village of Komabangou (Tera, Tillaberi).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Niger),,Civilians,Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,UMTS,614.0,2.0,40000,15000,5000,30000,1000,91000,11577.757363704091,3442772,5500,0.0016
2022_2_17_1.5666_13.6046,NER,Niger,NER.7.2_1,Tillabéry,2022,2,17,Niger,Tillaberi,MBanga,communications,antenna,Looting/property destruction,destruction,destroyed,"Property destruction: On 17 February 2022, presumed JNIM militants destroyed telecommunications antennas in the village of MBanga (Kollo, Tillaberi).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Niger),,Civilians,Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,GSM,,,40000,15000,5000,30000,1000,91000,9944.191170822423,2901791,4647,0.0016
2022_7_13_1.8685_12.8711,NER,Niger,NER.7.4_1,Tillabéry,2022,7,13,Niger,Tillaberi,Tientienga Foulbe,communications,antenna,Looting/property destruction,arson,burned,"Looting: On 13 July 2022, presumed JNIM militants burned a telecommunications antenna and seized the batteries and solar panels in the village of Tientienga Foulbe (Say, Tillaberi).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Niger),,Civilians,Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,GSM,,,40000,15000,5000,30000,1000,91000,5842.579343867797,1544797,2451,0.0016
2022_5_28_1.9168_14.2599,NER,Niger,NER.7.3_1,Tillabéry,2022,5,28,Niger,Tillaberi,Dabre,communications,antenna,Looting/property destruction,arson,burned,"Looting: On 28 May 2022, suspected IS Sahel militants attacked the market in the village of Dabre (Ouallam, Tillaberi). The militants seized a vehicle and burned a telecommunications antenna.",0,Islamic State (West Africa) - Greater Sahara Faction,,Rebel Groups,Civilians (Niger),Labour Group (Niger),Civilians,Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,GSM,,,40000,15000,5000,30000,1000,91000,16412.27810940074,4270198,6830,0.0016
2020_5_31_4.5024_15.7196,NER,Niger,NER.6.7_1,Tahoua,2020,5,31,Niger,Tahoua,Eknewane,communications,antenna,Attack on civilians,destruction,destroyed,"On 31 May 2020, suspected ISGS militants attacked the Malian refugee camp in Intikane, near Eknewane (Tillia, Tahoua), reportedly killed three people including the camp president, the president of the vigilance committee, and a tribal leader, abducted a",3,Islamic State (West Africa) - Greater Sahara Faction,,Rebel Groups,Civilians (Mali),Refugees/IDPs (Mali); Unidentified Communal Group (Niger); Unidentified Communal Militia (Niger); Unidentified Tribal Group (Niger); Private Security Forces (Niger),Civilians,Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,GSM,614.0,4.0,40000,15000,5000,30000,1000,91000,987.723700462961,252927,400,0.0016
2021_12_22_0.5354_14.6522,NER,Niger,NER.7.5_1,Tillabéry,2021,12,22,Niger,Tillaberi,Tegueye,communications,antenna,Looting/property destruction,destruction,destroyed,"Property destruction: On 22 December 2021, presumed ISWAP (Greater Sahara) militants destroyed a telecommunications antenna in the village of Tegueye (Tera, Tillaberi).",0,Islamic State (West Africa) - Greater Sahara Faction,,Rebel Groups,Civilians (Niger),,Civilians,Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,GSM,,,40000,15000,5000,30000,1000,91000,13265.452154688855,3803700,6086,0.0016
2022_8_18_0.9295_14.2063,NER,Niger,NER.7.5_1,Tillabéry,2022,8,18,Niger,Tillaberi,Kokorou,communications,radio station,Attack on civilians,gunfire,unknown,"On 18 August 2022, presumed IS Sahel or JNIM militants fired gunshots at the local radio station in the village of Kokorou (Tera, Tillaberi). There were no casualties.",0,Islamic State and/or JNIM,,Rebel Groups,Civilians (Niger),,Civilians,Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,GSM,614.0,2.0,40000,15000,5000,30000,1000,91000,19640.647484289133,5699679,9115,0.0016
2022_1_30_1.1245_13.8711,NER,Niger,NER.7.5_1,Tillabéry,2022,1,30,Niger,Tillaberi,Garbougna,communications,antenna,Remote explosive/landmine/IED,sabotage,unknown,"On 30 January 2022, overnight presumed JNIM militants sabotaged a telecommunications antenna by setting of explosives in the village of Garbougna (Gotheye, Tillaberi).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,,,,Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,GSM,,,40000,15000,5000,30000,1000,91000,72298.27898590521,22051519,35284,0.0016
2023_1_16_3.7855_15.0771,NER,Niger,NER.7.1_1,Tillabéry,2023,1,16,Niger,Tillaberi,Abarey,communications,antenna,Looting/property destruction,destruction,destroyed,"Property destruction: On 16 January 2023, presumed IS Sahel militants destroyed a telecommunications antenna in the village of Abarey (Abala, Tillaberi).",0,Islamic State (West Africa) - Greater Sahara Faction,,Rebel Groups,Civilians (Niger),,Civilians,Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,GSM,614.0,4.0,40000,15000,5000,30000,1000,91000,2341.31615620163,651922,1009,0.0016
2019_5_13_1.9508_14.6806,NER,Niger,NER.7.3_1,Tillabéry,2019,5,13,Niger,Tillaberi,Mangaize,communications,other,Looting/property destruction,ransacking,unknown,"On 13 May 2019, ISGS militants aboard motorbikes ransacked the telecommunications network in Mangaize.",0,Islamic State (West Africa) - Greater Sahara Faction,,Rebel Groups,Civilians (Niger),,Civilians,Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,GSM,,,40000,15000,5000,30000,1000,91000,16084.052467562062,4797534,7671,0.0016
2022_11_13_2.0112_13.0957,NER,Niger,NER.7.4_1,Tillabéry,2022,11,13,Niger,Tillaberi,Ouro Gueladjo,communications,antenna,Looting/property destruction,sabotage,unknown,"Property destruction: On 13 November 2022, presumed JNIM militants fired gunshots and sabotaged a telecommunications antenna in the village of Ouro Gueladjo (Say, Tillaberi).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Niger),,Civilians,Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,GSM,,,40000,15000,5000,30000,1000,91000,22586.126396956806,6105297,9759,0.0016
2022_1_20_5.0403_15.4454,NER,Niger,NER.6.7_1,Tahoua,2022,1,20,Niger,Tahoua,Gaweye,communications,antenna,Looting/property destruction,arson,burned,"Property destruction: On 20 January 2022, presumed ISWAP (Greater Sahara) militants burned a telecommunications antenna in the village of Gaweye (Tillia, Tahoua).",0,Islamic State (West Africa) - Greater Sahara Faction,,Rebel Groups,Civilians (Niger),,Civilians,Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,GSM,,,40000,15000,5000,30000,1000,91000,4232.755223205639,1238841,1973,0.0016
2020_2_13_2.2729_14.6744,NER,Niger,NER.7.3_1,Tillabéry,2020,2,13,Niger,Tillaberi,Taroum,communications,other,Attack on civilians,sabotage,unknown,"On 13 February 2020, presumed ISGS militants attacked the village of Taroum and reportedly burned a school and sabotaged the telecommunications network, no casualties reported.",0,Islamic State (West Africa) - Greater Sahara Faction,,Rebel Groups,Civilians (Niger),,Civilians,Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,GSM,,,40000,15000,5000,30000,1000,91000,5956.430947752439,1978084,3164,0.0016
